,Apartment Address,Amenities,Amenity type,Rent price,Bedrooms,Bathrooms, 'Clothing Store', 'College Gym', 'College Gym'], 'College Rec Center', 'Convenience Store', 'Convenience Store'], 'Department Store', 'Department Store'], 'Discount Store', 'Electronics Store', 'Furniture / Home Store', 'Furniture / Home Store'], 'General Travel', 'Gym / Fitness Center', 'Hospital', 'IT Services', 'Miscellaneous Shop', 'Miscellaneous Shop'], 'Mobile Phone Shop', 'None', 'None'], 'Nudist Beach', 'Paper / Office Supplies Store', 'Paper / Office Supplies Store'], 'Smoke Shop', 'Smoke Shop'], 'Tourist Information Center', 'Veterinarian',[''],['Convenience Store',['Department Store',['Furniture / Home Store',['General Travel',['Gym / Fitness Center',['Miscellaneous Shop',['None',['Smoke Shop',['Tourist Information Center'
0,"171, Priestman Street, Rabbit Town, Uptown, Fredericton, York County, New Brunswick, E3B 3H2, Canada","[""Dick's Grocery Store"", 'Great Canadian Dollar Store', 'Everything For A Dollar Store', 'kadam shoe store', 'Fredericton Animal Hospital', 'Everything For A Dollar Store', 'Great Canadian Dollar Store', 'kadam shoe store', ""Dick's Grocery Store"", 'Fredericton Animal Hospital', 'Everything For A Dollar Store', 'Great Canadian Dollar Store', 'kadam shoe store', ""Dick's Grocery Store"", 'Fredericton Animal Hospital', 'Everything For A Dollar Store', 'Great Canadian Dollar Store', 'kadam shoe store', ""Dick's Grocery Store"", 'Fredericton Animal Hospital', 'Everything For A Dollar Store', 'Great Canadian Dollar Store', 'kadam shoe store', ""Dick's Grocery Store""]","[""['Smoke Shop'"", "" 'Discount Store'"", "" 'Miscellaneous Shop'"", "" 'Department Store'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Discount Store'"", "" 'Department Store'"", "" 'Smoke Shop'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Discount Store'"", "" 'Department Store'"", "" 'Smoke Shop'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Discount Store'"", "" 'Department Store'"", "" 'Smoke Shop'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Discount Store'"", "" 'Department Store'"", "" 'Smoke Shop']""]",450.0,0,1,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,1,0,4,0,0,0,0,0,0,0,0,1,0
1,"Priestman Street, Rabbit Town, Uptown, Fredericton, York County, New Brunswick, E3B 3H2, Canada","[""Dick's Grocery Store"", 'Great Canadian Dollar Store', 'Everything For A Dollar Store', 'kadam shoe store', 'Fredericton Animal Hospital', 'Everything For A Dollar Store', 'Great Canadian Dollar Store', 'kadam shoe store', ""Dick's Grocery Store"", 'Fredericton Animal Hospital', 'Everything For A Dollar Store', 'Great Canadian Dollar Store', 'kadam shoe store', ""Dick's Grocery Store"", 'Fredericton Animal Hospital', 'Everything For A Dollar Store', 'Great Canadian Dollar Store', 'kadam shoe store', ""Dick's Grocery Store"", 'Fredericton Animal Hospital', 'Everything For A Dollar Store', 'Great Canadian Dollar Store', 'kadam shoe store', ""Dick's Grocery Store""]","[""['Smoke Shop'"", "" 'Discount Store'"", "" 'Miscellaneous Shop'"", "" 'Department Store'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Discount Store'"", "" 'Department Store'"", "" 'Smoke Shop'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Discount Store'"", "" 'Department Store'"", "" 'Smoke Shop'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Discount Store'"", "" 'Department Store'"", "" 'Smoke Shop'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Discount Store'"", "" 'Department Store'"", "" 'Smoke Shop']""]",500.0,0,1,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,1,0,4,0,0,0,0,0,0,0,0,1,0
2,"George Street, Carleton, Downtown, Fredericton, York County, New Brunswick, E3B 3L7, Canada","['The UPS Store', 'UPS Store', 'Kwik-Way Convenience Store', 'The Travel Store', 'Militia Arms Store', 'Harvest Jazz And Blues Store', 'Urban Almanac', 'Crowne Plaza Fredericton-Lord Beaverbrook Pool & Gym', 'Southpaw Animal Hospital', 'Candy land', 'The UPS Store', 'UPS Store', 'Kwik-Way Convenience Store', 'The Travel Store', 'Militia Arms Store', 'Harvest Jazz And Blues Store', 'Urban Almanac', 'Crowne Plaza Fredericton-Lord Beaverbrook Pool & Gym', 'Southpaw Animal Hospital', 'Candy land', 'The UPS Store', 'UPS Store', 'Kwik-Way Convenience Store', 'The Travel Store', 'Militia Arms Store', 'Harvest Jazz And Blues Store', 'Urban Almanac', 'Crowne Plaza Fredericton-Lord Beaverbrook Pool & Gym', 'Southpaw Animal Hospital', 'Candy land', 'The UPS Store', 'UPS Store', 'Kwik-Way Convenience Store', 'The Travel Store', 'Militia Arms Store', 'Harvest Jazz And Blues Store', 'Urban Almanac', 'Crowne Plaza Fredericton-Lord Beaverbrook Pool & Gym', 'Southpaw Animal Hospital', 'Candy land', 'The UPS Store', 'UPS Store', 'Kwik-Way Convenience Store', 'The Travel Store', 'Militia Arms Store', 'Harvest Jazz And Blues Store', 'Urban Almanac']","[""['Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Convenience Store'"", "" 'General Travel'"", "" 'Tourist Information Center'"", "" 'Clothing Store'"", "" 'Furniture / Home Store'"", "" 'Gym / Fitness Center'"", "" 'Veterinarian'"", "" 'Nudist Beach'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Convenience Store'"", "" 'General Travel'"", "" 'Tourist Information Center'"", "" 'Clothing Store'"", "" 'Furniture / Home Store'"", "" 'Gym / Fitness Center'"", "" 'Veterinarian'"", "" 'Nudist Beach'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Convenience Store'"", "" 'General Travel'"", "" 'Tourist Information Center'"", "" 'Clothing Store'"", "" 'Furniture / Home Store'"", "" 'Gym / Fitness Center'"", "" 'Veterinarian'"", "" 'Nudist Beach'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Convenience Store'"", "" 'General Travel'"", "" 'Tourist Information Center'"", "" 'Clothing Store'"", "" 'Furniture / Home Store'"", "" 'Gym / Fitness Center'"", "" 'Veterinarian'"", "" 'Nudist Beach'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Convenience Store'"", "" 'General Travel'"", "" 'Tourist Information Center'"", "" 'Clothing Store'"", "" 'Furniture / Home Store']""]",550.0,2,1,5,0,0,0,5,0,0,0,0,0,4,1,5,4,0,0,4,0,0,0,0,4,5,0,0,0,5,4,0,0,0,0,0,0,1,0,0,0
3,"George Street, Carleton, Downtown, Fredericton, York County, New Brunswick, E3B 3L7, Canada","['The UPS Store', 'UPS Store', 'Kwik-Way Convenience Store', 'The Travel Store', 'Militia Arms Store', 'Harvest Jazz And Blues Store', 'Urban Almanac', 'Crowne Plaza Fredericton-Lord Beaverbrook Pool & Gym', 'Southpaw Animal Hospital', 'Candy land', 'The UPS Store', 'UPS Store', 'Kwik-Way Convenience Store', 'The Travel Store', 'Militia Arms Store', 'Harvest Jazz And Blues Store', 'Urban Almanac', 'Crowne Plaza Fredericton-Lord Beaverbrook Pool & Gym', 'Southpaw Animal Hospital', 'Candy land', 'The UPS Store', 'UPS Store', 'Kwik-Way Convenience Store', 'The Travel Store', 'Militia Arms Store', 'Harvest Jazz And Blues Store', 'Urban Almanac', 'Crowne Plaza Fredericton-Lord Beaverbrook Pool & Gym', 'Southpaw Animal Hospital', 'Candy land', 'The UPS Store', 'UPS Store', 'Kwik-Way Convenience Store', 'The Travel Store', 'Militia Arms Store', 'Harvest Jazz And Blues Store', 'Urban Almanac', 'Crowne Plaza Fredericton-Lord Beaverbrook Pool & Gym', 'Southpaw Animal Hospital', 'Candy land', 'The UPS Store', 'UPS Store', 'Kwik-Way Convenience Store', 'The Travel Store', 'Militia Arms Store', 'Harvest Jazz And Blues Store', 'Urban Almanac']","[""['Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Convenience Store'"", "" 'General Travel'"", "" 'Tourist Information Center'"", "" 'Clothing Store'"", "" 'Furniture / Home Store'"", "" 'Gym / Fitness Center'"", "" 'Veterinarian'"", "" 'Nudist Beach'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Convenience Store'"", "" 'General Travel'"", "" 'Tourist Information Center'"", "" 'Clothing Store'"", "" 'Furniture / Home Store'"", "" 'Gym / Fitness Center'"", "" 'Veterinarian'"", "" 'Nudist Beach'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Convenience Store'"", "" 'General Travel'"", "" 'Tourist Information Center'"", "" 'Clothing Store'"", "" 'Furniture / Home Store'"", "" 'Gym / Fitness Center'"", "" 'Veterinarian'"", "" 'Nudist Beach'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Convenience Store'"", "" 'General Travel'"", "" 'Tourist Information Center'"", "" 'Clothing Store'"", "" 'Furniture / Home Store'"", "" 'Gym / Fitness Center'"", "" 'Veterinarian'"", "" 'Nudist Beach'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Convenience Store'"", "" 'General Travel'"", "" 'Tourist Information Center'"", "" 'Clothing Store'"", "" 'Furniture / Home Store']""]",600.0,0,1,5,0,0,0,5,0,0,0,0,0,4,1,5,4,0,0,4,0,0,0,0,4,5,0,0,0,5,4,0,0,0,0,0,0,1,0,0,0
4,"York Street, Rabbit Town, Downtown, Fredericton, York County, New Brunswick, E3B 0V4, Canada","['The UPS Store', 'UPS Store', 'Kwik-Way Convenience Store', 'Southpaw Animal Hospital', 'The UPS Store', 'UPS Store', 'Kwik-Way Convenience Store', 'Southpaw Animal Hospital', 'The UPS Store', 'UPS Store', 'Kwik-Way Convenience Store', 'Southpaw Animal Hospital', 'The UPS Store', 'UPS Store', 'Kwik-Way Convenience Store', 'Southpaw Animal Hospital', 'The UPS Store', 'UPS Store', 'Kwik-Way Convenience Store']","[""['Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Convenience Store'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Convenience Store'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Convenience Store'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Convenience Store'"", "" 'Veterinarian'"", "" 'Miscellaneous Shop'"", "" 'Paper / Office Supplies Store'"", "" 'Convenience Store']""]",650.0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0
5,"Canterbury Drive, Dunn's Crossing, Skyline Acres, Fredericton, York County, New Brunswick, E3B 4K9, Canada","[""Raymonde's General Store"", ""Raymonde's General Store"", ""Raymonde's General Store"", ""Raymonde's General Store"", ""Raymonde's General Store""]","[""['None'"", "" 'None'"", "" 'None'"", "" 'None'"", "" 'None']""]",700.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,"31, Corbett Avenue, Station Pointe, Barker's Point, Fredericton, York County, New Brunswick, E3A 6R1, Canada",[],"[""['']""]",750.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,"706, Valleyview Street, College Hill, Skyline Acres, Fredericton, York County, New Brunswick, E3B 9W4, Canada","['Dollar Store', 'Lady Beaverbrook Gym - UNB', 'South Gym', 'Currie Center Gym -  UNB', 'New Gym -  UNB', 'Dollar Store', 'Lady Beaverbrook Gym - UNB', 'South Gym', 'Currie Center Gym -  UNB', 'New Gym -  UNB', 'Dollar Store', 'Lady Beaverbrook Gym - UNB', 'South Gym', 'Currie Center Gym -  UNB', 'New Gym -  UNB', 'Dollar Store', 'Lady Beaverbrook Gym - UNB', 'South Gym', 'Currie Center Gym -  UNB', 'New Gym -  UNB', 'Dollar Store']","[""['Miscellaneous Shop'"", "" 'Gym / Fitness Center'"", "" 'College Rec Center'"", "" 'College Gym'"", "" 'College Gym'"", "" 'Miscellaneous Shop'"", "" 'Gym / Fitness Center'"", "" 'College Rec Center'"", "" 'College Gym'"", "" 'College Gym'"", "" 'Miscellaneous Shop'"", "" 'Gym / Fitness Center'"", "" 'College Rec Center'"", "" 'College Gym'"", "" 'College Gym'"", "" 'Miscellaneous Shop'"", "" 'Gym / Fitness Center'"", "" 'College Rec Center'"", "" 'College Gym'"", "" 'College Gym'"", "" 'Miscellaneous Shop']""]",750.0,1,1,0,8,0,4,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,"Valleyview Street, College Hill, Skyline Acres, Fredericton, York County, New Brunswick, E3B 9W4, Canada","['Dollar Store', 'Lady Beaverbrook Gym - UNB', 'South Gym', 'Currie Center Gym -  UNB', 'New Gym -  UNB', 'Dollar Store', 'Lady Beaverbrook Gym - UNB', 'South Gym', 'Currie Center Gym -  UNB', 'New Gym -  UNB', 'Dollar Store', 'Lady Beaverbrook Gym - UNB', 'South Gym', 'Currie Center Gym -  UNB', 'New Gym -  UNB', 'Dollar Store', 'Lady Beaverbrook Gym - UNB', 'South Gym', 'Currie Center Gym -  UNB', 'New Gym -  UNB', 'Dollar Store']","[""['Miscellaneous Shop'"", "" 'Gym / Fitness Center'"", "" 'College Rec Center'"", "" 'College Gym'"", "" 'College Gym'"", "" 'Miscellaneous Shop'"", "" 'Gym / Fitness Center'"", "" 'College Rec Center'"", "" 'College Gym'"", "" 'College Gym'"", "" 'Miscellaneous Shop'"", "" 'Gym / Fitness Center'"", "" 'College Rec Center'"", "" 'College Gym'"", "" 'College Gym'"", "" 'Miscellaneous Shop'"", "" 'Gym / Fitness Center'"", "" 'College Rec Center'"", "" 'College Gym'"", "" 'College Gym'"", "" 'Miscellaneous Shop']""]",750.0,1,1,0,8,0,4,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,"King Street, Victoria Circle, Downtown, Fredericton, York County, New Brunswick, E3B 1G5, Canada","['Urban Almanac', 'Urban Almanac', 'Urban Almanac', 'Urban Almanac', 'Urban Almanac']","[""['Furniture / Home Store'"", "" 'Furniture / Home Store'"", "" 'Furniture / Home Store'"", "" 'Furniture / Home Store'"", "" 'Furniture / Home Store']""]",780.0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
